Time,Publisher,Date
28:02,New Yorker,2023-03-03
40:58,Los Angeles Times,2023-03-05
07:53,Los Angeles Times,2023-03-06
37:14,New Yorker,2023-03-06
07:37,New York Times,2023-03-06
05:38,Wall Street Journal,2023-03-06
14:00,Wall Street Journal,2023-03-01
10:34,Wall Street Journal,2023-02-28
08:38,New York Times,2023-03-07
08:48,Los Angeles Times,2023-03-07
17:44,New Yorker,2023-03-07
13:21,New York Times,2023-03-08
10:59,Los Angeles Times,2023-03-08
06:45,New Yorker,2023-03-08
21:22,New York Times,2023-03-09
10:11,Los Angeles Times,2023-03-09
06:20,New Yorker,2023-03-09
11:42,Los Angeles Times,2023-03-10
21:08,New York Times,2023-03-10
10:57,New Yorker,2023-03-10
45:21,Los Angeles Times,2023-03-11
41:25,New York Times,2023-03-11
27:16,Los Angeles Times,2023-03-12
05:57,New York Times,2023-03-13
07:27,Los Angeles Times,2023-03-13
10:52,New York Times,2023-03-14
15:35,New York Times,2023-03-15
09:30,Los Angeles Times,2023-03-15
12:27,New Yorker,2023-03-15
15:30,Wall Street Journal,2023-03-15
11:07,New Yorker,2023-03-17
05:09,New Yorker,2023-03-16
31:02,New Yorker,2023-03-14
08:39,Wall Street Journal,2023-03-13
35:38,Los Angeles Times,2023-03-16
17:37,New York Times,2023-03-17
05:45,Los Angeles Times,2023-03-20
09:44,New York Times,2023-03-21
04:41,New York Times,2023-03-20
06:03,Los Angeles Times,2023-03-21
18:32,New York Times,2023-03-22
28:07,New York Times,2023-03-23
04:42,New Yorker,2023-03-23
06:23,Los Angeles Times,2023-03-23
15:28,New Yorker,2023-03-24
18:31,Wall Street Journal,2023-03-24
16:21,New York Times,2023-03-24
05:48,Los Angeles Times,2023-03-27
05:54,New York Times,2023-03-27
09:10,New York Times,2023-03-28
07:31,New York Times,2023-03-29
05:28,Wall Street Journal,2023-03-27
31:25,New York Times,2023-03-25
09:31,Wall Street Journal,2023-03-28
11:28,Los Angeles Times,2023-03-30
25:33,New York Times,2023-03-30
